"year","month","date","pref","testedPositive","peopleTested","hospitalized","serious","discharged","deaths"
2020,3,19,"京都",20,800,11,0,6,0
2020,3,19,"大阪",119,0,79,0,22,1
2020,3,19,"兵庫",91,1108,64,0,1,4
2020,3,19,"奈良",8,176,2,0,2,0
2020,3,19,"和歌山",16,1102,5,0,8,1
2020,3,19,"鳥取",0,115,0,0,0,0
2020,3,19,"島根",0,91,0,0,0,0
2020,3,19,"岡山",0,181,0,0,0,0
2020,3,19,"広島",1,552,0,0,1,0
2020,3,19,"山口",3,164,1,0,0,0
2020,3,19,"徳島",1,83,0,0,0,0
2020,3,19,"香川",1,128,1,0,0,0
2020,3,19,"愛媛",3,181,1,0,1,0
2020,3,19,"高知",12,270,0,0,11,0
2020,3,19,"福岡",5,626,3,0,2,0
2020,3,19,"佐賀",1,100,1,0,0,0
2020,3,19,"長崎",1,213,0,0,0,0
2020,3,19,"熊本",7,467,6,0,0,0
2020,3,19,"大分",3,167,2,0,1,0
2020,3,19,"宮崎",3,170,3,0,0,0
2020,3,19,"鹿児島",0,171,0,0,0,0
2020,3,19,"沖縄",3,238,1,0,2,0
2020,3,20,"北海道",158,1652,82,0,69,6
2020,3,20,"青森",0,85,0,0,0,0
2020,3,20,"岩手",0,29,0,0,0,0
2020,3,20,"宮城",1,148,0,0,1,0
2020,3,20,"秋田",2,114,0,0,1,0
2020,3,20,"山形",0,133,0,0,0,0
2020,3,20,"福島",2,132,2,0,0,0
2020,3,20,"茨城",3,464,3,0,0,0
2020,3,20,"栃木",3,263,2,0,1,0
2020,3,20,"群馬",11,173,11,0,0,0
2020,3,20,"埼玉",41,684,32,0,6,0
2020,3,20,"千葉",41,0,27,0,12,0
2020,3,20,"東京",129,1873,95,9,31,3
2020,3,20,"神奈川",70,0,48,0,6,4
2020,3,20,"新潟",21,647,16,0,1,0
2020,3,20,"富山",0,54,0,0,0,0
2020,3,20,"石川",8,175,4,0,2,0
2020,3,20,"福井",1,97,1,0,0,0
2020,3,20,"山梨",2,337,2,0,0,0
2020,3,20,"長野",4,306,2,0,1,0
2020,3,20,"岐阜",3,279,2,0,1,0
2020,3,20,"静岡",3,0,2,0,1,0
2020,3,20,"愛知",139,1103,111,0,3,16
2020,3,20,"三重",9,318,5,0,1,0
2020,3,20,"滋賀",4,144,4,0,0,0
2020,3,20,"京都",21,806,12,0,6,0
2020,3,20,"大阪",123,0,83,0,22,1
2020,3,20,"兵庫",100,1120,71,0,1,4
2020,3,20,"奈良",8,177,2,0,2,0
2020,3,20,"和歌山",17,1110,6,0,8,1
2020,3,20,"鳥取",0,115,0,0,0,0
2020,3,20,"島根",0,91,0,0,0,0
2020,3,20,"岡山",0,181,0,0,0,0
2020,3,20,"広島",2,569,1,0,1,0
2020,3,20,"山口",3,164,1,0,0,0
2020,3,20,"徳島",1,83,0,0,0,0
2020,3,20,"香川",1,133,1,0,0,0
2020,3,20,"愛媛",3,181,1,0,1,0
2020,3,20,"高知",12,270,0,0,11,0
2020,3,20,"福岡",5,626,3,0,2,0
2020,3,20,"佐賀",1,102,1,0,0,0
2020,3,20,"長崎",1,213,0,0,0,0
2020,3,20,"熊本",7,476,6,0,0,0
2020,3,20,"大分",8,175,5,0,1,0
2020,3,20,"宮崎",3,179,3,0,0,0
2020,3,20,"鹿児島",0,171,0,0,0,0
2020,3,20,"沖縄",3,238,1,0,2,0
2020,3,21,"北海道",159,1652,71,0,81,6
2020,3,21,"青森",0,88,0,0,0,0
2020,3,21,"岩手",0,29,0,0,0,0
2020,3,21,"宮城",1,150,0,0,1,0
2020,3,21,"秋田",2,114,0,0,1,0
2020,3,21,"山形",0,133,0,0,0,0
2020,3,21,"福島",2,132,2,0,0,0
2020,3,21,"茨城",3,464,3,0,0,0
2020,3,21,"栃木",4,263,3,0,1,0
2020,3,21,"群馬",11,174,11,0,0,0
2020,3,21,"埼玉",44,684,34,0,7,0
